time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-01-03 01:00:00,39.9,25.9,57.0,0.0,,250.0,5.8,,1016.8,,1.0
2024-01-03 02:00:00,39.9,25.9,57.0,0.0,,250.0,5.8,,1016.8,,1.0
2024-01-03 03:00:00,39.0,25.0,57.0,0.0,,250.0,7.0,,1016.8,,1.0
2024-01-03 04:00:00,37.0,27.1,67.0,0.0,,250.0,7.0,,1016.4,,1.0
2024-01-03 05:00:00,37.0,27.1,67.0,0.0,,250.0,7.0,,1016.4,,1.0
2024-01-03 06:00:00,37.0,27.1,67.0,0.0,,260.0,7.0,,1016.5,,3.0
2024-01-03 07:00:00,36.0,27.1,70.0,0.0,,260.0,8.1,,1016.6,,1.0
2024-01-03 08:00:00,36.0,27.1,70.0,0.0,,260.0,8.1,,1016.6,,2.0
2024-01-03 09:00:00,35.1,24.8,66.0,0.0,,260.0,3.4,,1016.8,,3.0
2024-01-03 10:00:00,35.1,24.8,66.0,0.0,,260.0,5.8,,1016.9,,3.0
2024-01-03 11:00:00,35.1,24.8,66.0,0.0,,250.0,5.8,,1016.9,,3.0
2024-01-03 12:00:00,35.1,25.9,69.0,0.0,,250.0,9.2,,1018.2,,3.0
2024-01-03 13:00:00,36.0,27.1,70.0,0.0,,250.0,8.1,,1018.5,,3.0
2024-01-03 14:00:00,36.0,27.1,70.0,0.0,,250.0,8.1,,1018.5,,2.0
2024-01-03 15:00:00,41.0,27.0,57.0,0.0,,250.0,7.0,,1017.7,,1.0
2024-01-03 16:00:00,41.0,27.0,57.0,0.0,,300.0,7.0,,1017.7,,1.0
2024-01-03 17:00:00,44.1,27.1,51.0,0.0,,296.0,5.8,,1016.8,,1.0
2024-01-03 18:00:00,45.0,27.9,51.0,0.0,,279.0,4.7,,1016.2,,1.0
2024-01-03 19:00:00,43.0,27.0,53.0,0.0,,262.0,7.0,,1015.8,,1.0
2024-01-03 20:00:00,43.0,27.0,53.0,0.0,,237.0,7.0,,1015.8,,2.0
2024-01-03 21:00:00,41.0,26.1,55.0,0.0,,240.0,9.2,,1016.6,,1.0
2024-01-03 22:00:00,41.0,27.0,57.0,0.0,,250.0,7.0,,1016.6,,1.0
2024-01-03 23:00:00,41.0,27.0,57.0,0.0,,250.0,7.0,,1016.6,,1.0
2024-01-04 00:00:00,41.0,27.0,57.0,0.0,,260.0,7.0,,1016.9,,3.0
2024-01-04 01:00:00,41.0,26.1,55.0,0.0,,250.0,3.4,,1016.2,,3.0
2024-01-04 02:00:00,41.0,26.1,55.0,0.0,,250.0,3.4,,1016.2,,3.0
2024-01-04 03:00:00,39.9,25.9,57.0,0.0,,250.0,7.0,,1016.4,,3.0
2024-01-04 04:00:00,39.9,27.1,60.0,0.0,,240.0,4.7,,1016.1,,3.0
2024-01-04 05:00:00,39.9,27.1,60.0,0.0,,240.0,4.7,,1016.1,,3.0
2024-01-04 06:00:00,39.9,29.1,65.0,0.0,,250.0,4.7,,1015.6,,3.0
2024-01-04 07:00:00,39.9,29.1,65.0,0.0,,250.0,5.8,,1015.1,,3.0
2024-01-04 08:00:00,39.9,29.1,65.0,0.0,,250.0,5.8,,1015.1,,3.0
2024-01-04 09:00:00,39.0,27.9,64.0,0.0,,250.0,4.7,,1014.4,,3.0
2024-01-04 10:00:00,39.0,27.9,64.0,0.0,,260.0,4.7,,1014.0,,3.0
2024-01-04 11:00:00,39.0,27.9,64.0,0.0,,260.0,4.7,,1014.0,,3.0
2024-01-04 12:00:00,39.9,29.1,65.0,0.0,,250.0,5.8,,1014.6,,3.0
2024-01-04 13:00:00,39.9,28.0,62.0,0.0,,260.0,7.0,,1015.0,,3.0
2024-01-04 14:00:00,39.9,28.0,62.0,0.0,,260.0,7.0,,1015.0,,3.0
2024-01-04 15:00:00,41.0,28.9,62.0,0.0,,250.0,7.0,,1015.1,,3.0
2024-01-04 16:00:00,43.0,30.0,60.0,0.0,,250.0,4.7,,1014.6,,3.0
2024-01-04 17:00:00,43.0,30.0,60.0,0.0,,324.0,4.7,,1014.6,,2.0
2024-01-04 18:00:00,46.0,25.9,45.0,0.0,,290.0,5.8,,1014.1,,3.0
2024-01-04 19:00:00,48.0,26.1,42.0,0.0,,0.0,0.0,,1014.7,,3.0
2024-01-04 20:00:00,48.0,26.1,42.0,0.0,,0.0,0.0,,1014.7,,3.0
2024-01-04 21:00:00,41.0,21.7,46.0,0.0,,322.0,5.8,,1017.3,,2.0
2024-01-04 22:00:00,37.9,21.0,50.0,0.0,,320.0,4.7,,1018.7,,1.0
2024-01-04 23:00:00,37.9,21.0,50.0,0.0,,320.0,4.7,,1018.7,,1.0
2024-01-05 00:00:00,37.0,19.2,48.0,0.0,,326.0,4.7,,1019.8,,1.0
2024-01-05 01:00:00,34.0,15.4,46.0,0.0,,328.0,3.4,,1021.6,,1.0
2024-01-05 02:00:00,34.0,15.4,46.0,0.0,,329.0,3.4,,1021.6,,1.0
2024-01-05 03:00:00,30.9,17.1,56.0,0.0,,332.0,5.8,,1023.0,,1.0
2024-01-05 04:00:00,30.0,17.8,60.0,0.0,,331.0,4.7,,1023.3,,1.0
2024-01-05 05:00:00,30.0,17.8,60.0,0.0,,331.0,4.7,,1023.3,,1.0
2024-01-05 06:00:00,28.9,17.2,61.0,0.0,,329.0,4.7,,1024.1,,1.0
2024-01-05 07:00:00,28.0,17.1,63.0,0.0,,0.0,0.0,,1024.5,,1.0
2024-01-05 08:00:00,28.0,17.1,63.0,0.0,,0.0,0.0,,1024.5,,1.0
2024-01-05 09:00:00,28.0,19.2,69.0,0.0,,0.0,0.0,,1025.0,,2.0
2024-01-05 10:00:00,28.0,17.1,63.0,0.0,,250.0,9.2,,1025.7,,3.0
2024-01-05 11:00:00,28.0,17.1,63.0,0.0,,250.0,9.2,,1025.7,,3.0
2024-01-05 12:00:00,28.0,18.1,66.0,0.0,,250.0,10.3,,1026.9,,1.0
2024-01-05 13:00:00,30.9,17.8,58.0,0.0,,250.0,7.0,,1027.6,,1.0
2024-01-05 14:00:00,30.9,17.8,58.0,0.0,,250.0,7.0,,1027.6,,1.0
2024-01-05 15:00:00,35.1,15.3,44.0,0.0,,250.0,4.7,,1026.9,,1.0
2024-01-05 16:00:00,37.9,16.9,42.0,0.0,,295.0,7.0,,1025.7,,1.0
2024-01-05 17:00:00,37.9,16.9,42.0,0.0,,260.0,7.0,,1025.7,,1.0
2024-01-05 18:00:00,39.9,18.1,41.0,0.0,,250.0,8.1,,1024.5,,1.0
2024-01-05 19:00:00,41.0,20.1,43.0,0.0,,250.0,7.0,,1024.0,,1.0
2024-01-05 20:00:00,41.0,20.1,43.0,0.0,,250.0,7.0,,1024.0,,1.0
2024-01-05 21:00:00,37.9,19.0,46.0,0.0,,270.0,7.0,,1023.9,,1.0
2024-01-05 22:00:00,37.0,20.1,50.0,0.0,,250.0,10.3,,1024.2,,1.0
2024-01-05 23:00:00,37.0,20.1,50.0,0.0,,250.0,10.3,,1024.2,,1.0
2024-01-06 00:00:00,36.0,20.8,54.0,0.0,,250.0,10.3,,1024.5,,3.0
2024-01-06 01:00:00,36.0,20.8,54.0,0.0,,260.0,9.2,,1024.5,,3.0
2024-01-06 02:00:00,36.0,20.8,54.0,0.0,,260.0,9.2,,1024.5,,3.0
2024-01-06 03:00:00,34.0,21.2,59.0,0.0,,270.0,7.0,,1023.7,,1.0
2024-01-06 04:00:00,33.1,21.0,61.0,0.0,,260.0,4.7,,1023.5,,1.0
2024-01-06 05:00:00,33.1,21.0,61.0,0.0,,260.0,4.7,,1023.5,,3.0
2024-01-06 06:00:00,33.1,21.9,63.0,0.0,,260.0,5.8,,1024.0,,3.0
2024-01-06 07:00:00,32.0,23.0,69.0,0.0,,250.0,5.8,,1023.8,,3.0
2024-01-06 08:00:00,32.0,23.0,69.0,0.0,,250.0,5.8,,1023.8,,3.0
2024-01-06 09:00:00,32.0,23.0,69.0,0.0,,270.0,4.7,,1023.5,,3.0
2024-01-06 10:00:00,32.0,23.0,69.0,0.0,,260.0,5.8,,1023.4,,3.0
2024-01-06 11:00:00,32.0,23.0,69.0,0.0,,260.0,5.8,,1023.4,,3.0
2024-01-06 12:00:00,34.0,24.8,69.0,0.0,,70.0,5.8,,1022.9,,3.0
2024-01-06 13:00:00,35.1,24.8,66.0,0.0,,70.0,5.8,,1023.1,,3.0
2024-01-06 14:00:00,35.1,24.8,66.0,0.0,,50.0,11.4,,1023.1,,3.0
2024-01-06 15:00:00,36.0,24.3,62.0,0.0,,60.0,11.4,,1021.1,,3.0
2024-01-06 16:00:00,37.0,26.1,64.0,0.0,,50.0,10.3,,1020.5,,3.0
2024-01-06 17:00:00,37.0,26.1,64.0,0.0,,50.0,10.3,,1020.5,,3.0
2024-01-06 18:00:00,37.9,28.0,67.0,0.0,,40.0,10.3,,1018.7,,3.0
2024-01-06 19:00:00,37.9,28.9,70.0,0.0,,40.0,11.4,,1016.4,,3.0
2024-01-06 20:00:00,37.9,28.9,70.0,0.0,,40.0,12.7,,1016.4,,3.0
2024-01-06 21:00:00,35.1,32.2,89.0,0.016,,40.0,15.0,,1014.0,,12.0
2024-01-06 22:00:00,36.0,33.1,89.0,0.047,,30.0,17.2,,1012.8,,13.0
2024-01-06 23:00:00,36.0,33.1,89.0,0.071,,30.0,18.3,,1012.8,,13.0
2024-01-07 00:00:00,36.0,33.8,92.0,0.11,,40.0,17.2,,1008.8,,13.0
